"timestamp","event_name","event_detail","task","age","gender","occupation","education","nationality","confidence","paper_maps","computer_maps","mobile_maps","device_by_url","userId","screenResolution","viewportSize","browser","browserVersion","device","os","orientation","ip"
"54538","hide layer","task_test_okresy","00","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"58845","movestart","50.32332602307337, 12.1728515625","00","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"59095","zoom in","12","00","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"59096","moveend","50.30502001017602, 12.165298461914064","00","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"59982","movestart","50.30502001017602, 12.165298461914064","00","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"60229","zoom in","13","00","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"60230","moveend","50.304307530934786, 12.170963287353517","00","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"61607","movestart","50.304307530934786, 12.170963287353517","00","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"61861","zoom in","14","00","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"61863","moveend","50.304389855907466, 12.172937393188477","00","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"63110","movestart","50.304389855907466, 12.172937393188477","00","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"63364","zoom out","13","00","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"63365","moveend","50.312420334554176, 12.17782974243164","00","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"63377","movestart","50.312420334554176, 12.17782974243164","00","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
